visitorID,sessionID,timestamp,IV.CON.var0.0,IV.CON.var1.1,IV.CON.var2.2,IV.CON.var3.3,IV.CON.var4.4,IV.CON.var5.5,IV.CON.var6.6,IV.CON.var7.7,IV.CON.var8.8,IV.CON.var9.9,IV.CON.var10.10,IV.CON.var11.11,IV.CON.var12.12,IV.CON.var13.13,IV.CON.var14.14,IV.CON.var15.15,IV.CON.var16.16,IV.CON.var17.17,IV.CON.var18.18,IV.CON.var19.19,IV.CON.var20.20,IV.CON.var21.21,IV.CON.var22.22,IV.CON.var23.23,IV.CON.var24.24,IV.CON.var25.25,IV.CON.var26.26,IV.CON.var27.27,IV.CON.var28.28,IV.CON.var29.29,IV.CON.var30.30,IV.CON.var31.31,IV.CON.var32.32,IV.CON.var33.33,IV.CON.var34.34,IV.CON.var35.35,IV.CON.var36.36,IV.CON.var37.37,IV.CON.var38.38,IV.CON.var39.39,IV.CON.var40.40,IV.CON.var41.41,IV.CON.var42.42,IV.CON.var43.43,IV.CON.var44.44,IV.CON.var45.45,IV.CON.var46.46,IV.CON.var47.47,IV.CON.var48.48,IV.CON.var49.49,IV.CON.var50.50,IV.CON.var51.51,IV.CON.var52.52,IV.CON.var53.53,IV.CON.var54.54,IV.CON.var55.55,IV.CON.var56.56,IV.CON.var57.57,IV.CON.var58.58,IV.CON.var59.59,IV.CON.var60.60,IV.CON.var61.61,IV.CON.var62.62,IV.CON.var63.63,IV.CON.var64.64,IV.CON.var65.65,IV.CON.var66.66,IV.CON.var67.67,IV.CON.var68.68,IV.CON.var69.69,IV.CON.var70.70,IV.CON.var71.71,IV.CON.var72.72,IV.CON.var73.73,IV.CON.var74.74,IV.CON.var75.75,IV.CON.var76.76,IV.CON.var77.77,IV.CON.var78.78,IV.CON.var79.79,IV.CON.var80.80,IV.CON.var81.81,IV.CON.var82.82,IV.CON.var83.83,IV.CON.var84.84,IV.CON.var85.85,IV.CON.var86.86,IV.CON.var87.87,IV.CON.var88.88,IV.CON.var89.89,IV.CON.var90.90,IV.CON.var91.91,IV.CON.var92.92,IV.CON.var93.93,IV.CON.var94.94,IV.CON.var95.95,IV.CON.var96.96,IV.CON.var97.97,IV.CON.var98.98,IV.NOM.var218.218,IV.NOM.var219.219,IV.NOM.var220.220,IV.NOM.var221.221,IV.NOM.var222.222,IV.NOM.var223.223,IV.NOM.var224.224,IV.NOM.var225.225,IV.NOM.var226.226,IV.NOM.var227.227,IV.NOM.var228.228,IV.NOM.var229.229,IV.NOM.var230.230,IV.NOM.var231.231,IV.NOM.var232.232,IV.NOM.var233.233,IV.NOM.var234.234,IV.NOM.var235.235,IV.NOM.var236.236,IV.NOM.var237.237,cid,Click-through
00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,1246294470838,738.0,1280.0,null,null,1.2726440495378103E-45,0.0,7.902613951448806E-46,0.0,-4.0,1.2662029169357422E-45,0.0,0.0,7.70728421491543E-46,0.0,8.31251955274682E-46,0.0,6.190514847709202E-46,0.0,2.7483490366242435E-46,5.276644602649975E-46,0.0,9.778113477266368E-46,0.0,0.0,9.016673867577076E-46,0.0,32.0,0.0,0.0,1.3760136174825108E-45,0.0,1.2457509790447222E-45,0.0,0.0,6.620113805151642E-46,0.0,0.0,7.686656337876674E-46,0.0,7.396792930543604E-46,0.0,0.0,null,0.0,7.28783666993509E-46,0.0,0.0,38.0,0.0,1.3676707700188221E-45,0.0,1.3778940980109961E-45,0.0,1.2143624325171738E-45,0.0,15.0,3.0,null,null,0.0,3.862716036944931E-46,1.93233943890472E-45,0.0,7.256705069059333E-48,0.0,4.0810431856891184E-46,0.0,0.0,1.1640904889115637E-45,0.0,1.3972959419564641E-46,0.0,0.8083335101105465,32.0,2.30440077292188E-46,0.0,1.2917647676450734E-45,0.0,9.888298201201794E-46,0.0,5.080470033349583E-46,0.0,5.357445682232735E-46,0.0,1.1711682484833356E-45,0.0,0.0,1.0287686487078564E-45,0.0,1.2148818148629703E-45,0.0,769.0,1281.0,3.7407495939059566E-46,0.0,16.0,139.0,null,null,val0,val0,val0,val0,val0,val0,val0,val0,val0,val0,val0,val0,val0,val0,val0,val0,val0,val0,val0,val0,5,1
00000000-0000-0001-0000-000000000000,00000000-0000-0000-0000-000000000001,1246301316901,738.0,1280.0,null,null,1.2794482805495514E-45,0.0,8.275765459891181E-47,0.0,-4.0,8.907890807934589E-46,0.0,0.0,7.273525743111512E-46,0.0,4.122133309054082E-46,0.0,1.046104384063165E-45,0.0,5.166988425207611E-46,1.927427318359398E-46,0.0,9.19089390490299E-46,0.0,0.0,1.25989817717779E-45,0.0,39.0,0.0,0.0,7.93853949531327E-46,0.0,2.9251072904646698E-46,0.0,0.0,1.3183765458013741E-45,0.0,0.0,1.3094597936367003E-45,0.0,6.8932259114304294E-46,0.0,0.0,null,0.0,1.8281381594123893E-46,0.0,0.0,30.0,0.0,7.56568025337876E-48,0.0,9.361291460705354E-46,0.0,6.3797654854590144E-46,0.0,15.0,3.0,null,null,0.0,1.2498396797982103E-45,6.602832032253568E-46,0.0,7.666965748948567E-46,0.0,2.5445975608875696E-47,0.0,0.0,6.8492049778712486E-46,0.0,5.655568108466743E-46,0.0,0.6567858899424177,27.0,1.2989828108063718E-45,0.0,1.2320057960010674E-45,0.0,5.775294483974402E-46,0.0,1.3800695952090365E-45,0.0,9.958230910371985E-46,0.0,1.3211548870885147E-45,0.0,0.0,8.838525670601528E-46,0.0,1.6129660832264904E-47,0.0,770.0,1281.0,1.0660984652291074E-45,0.0,19.0,119.0,null,null,val1,val0,val1,val0,val0,val0,val0,val0,val0,val0,val0,val0,val0,val0,val0,val0,val1,val0,val0,val1,3,0
00000000-0000-0002-0000-000000000000,00000000-0000-0000-0000-000000000002,1246304928776,738.0,1280.0,null,null,1.2670957245283218E-45,0.0,9.468376063731618E-46,0.0,-4.0,2.024901519137821E-46,0.0,0.0,7.19410860852982E-46,0.0,1.1751942549926814E-45,0.0,1.0814150439756105E-45,0.0,2.886610281826046E-46,3.7166325372905725E-46,0.0,1.2381829901984189E-45,0.0,0.0,8.99088728094512E-46,0.0,32.0,0.0,0.0,1.2062554923003424E-45,0.0,1.1070613909221566E-45,0.0,0.0,8.754918101128676E-47,0.0,0.0,1.9652367694378785E-46,0.0,2.7266000284078588E-46,0.0,0.0,null,0.0,6.4297535665710676E-46,0.0,0.0,34.0,0.0,1.0328908840180118E-45,0.0,4.5391949113464795E-46,0.0,8.729175116152595E-46,0.0,15.0,3.0,null,null,0.0,9.168637307916182E-46,7.238811327296261E-46,0.0,1.838443809082921E-46,0.0,1.3566345879689207E-45,0.0,0.0,6.7373054941253935E-46,0.0,5.015218584227155E-46,0.0,0.578847559743059,25.0,3.933377927876939E-46,0.0,3.1672310980304986E-48,0.0,5.22214116487505E-48,0.0,2.7269114474130133E-46,0.0,1.2902762060316314E-45,0.0,8.06226061396366E-46,0.0,0.0,1.691184880919538E-46,0.0,1.3989651370989068E-45,0.0,770.0,1280.0,1.5155881186388077E-46,0.0,18.0,135.0,null,null,val1,val0,val2,val0,val0,val0,val0,val0,val0,val0,val0,val0,val0,val0,val0,val0,val2,val0,val0,val2,3,0
00000000-0000-0003-0000-000000000000,00000000-0000-0000-0000-000000000003,1246309004731,912.0,1280.0,null,null,4.95469859530584E-46,0.0,1.7159968490762478E-46,0.0,-4.0,4.9762626790829436E-46,0.0,0.0,5.930539148911134E-46,0.0,6.538665929457271E-46,0.0,1.0986118343766228E-45,0.0,8.159041789745007E-46,9.431284819276313E-46,0.0,1.244106545024441E-45,0.0,0.0,1.260365240710887E-45,0.0,34.0,0.0,0.0,8.118806488087543E-46,0.0,5.4958150025241265E-46,0.0,0.0,4.2126358493359636E-46,0.0,0.0,3.510966458267604E-47,0.0,3.909516215627426E-46,0.0,0.0,null,0.0,7.755110923246482E-46,0.0,0.0,139.0,0.0,3.519935985807873E-46,0.0,2.3612390435229212E-46,0.0,9.689445889348266E-46,0.0,23.0,4.0,null,null,0.0,1.57361331052488E-46,1.939758771564101E-45,0.0,4.755641413850265E-46,0.0,6.0005350772162835E-46,0.0,0.0,4.8324639468838625E-46,0.0,2.2969985680795235E-46,0.0,3.635449329685857E-46,0.0,3.1543615626859494E-46,0.0,1.0685806509858275E-45,0.0,1.0178825107247469E-45,0.0,9.33774465460651E-46,0.0,5.156365523525113E-46,0.0,1.0589682211545643E-45,0.0,0.0,6.215638152075107E-46,0.0,1.1157915333341832E-45,0.0,1024.0,1280.0,5.77344062455303E-46,0.0,20.0,109.0,null,null,val1,val0,val3,val0,val0,val0,val1,val0,val0,val0,val1,val1,val1,val0,val1,val0,val3,val0,val1,val3,3,1
00000000-0000-0004-0000-000000000000,00000000-0000-0000-0000-000000000004,1246309854887,738.0,1280.0,null,null,1.3567736866968266E-45,0.0,4.9058449514541155E-46,0.0,-4.0,1.0496007082378584E-46,0.0,0.0,3.3216671494306787E-46,0.0,1.2256307270154684E-45,0.0,3.705185965380203E-46,0.0,1.2798139091483873E-45,5.424938295185325E-46,0.0,3.60426639981456E-47,0.0,0.0,9.41247572811183E-46,0.0,39.0,0.0,0.0,3.558247754231272E-46,0.0,6.009396573914048E-46,0.0,0.0,6.318065799531261E-46,0.0,0.0,6.447342066450637E-46,0.0,1.3322130795602652E-45,0.0,0.0,null,0.0,8.136478613165327E-46,0.0,0.0,28.0,0.0,5.9976702805920985E-46,0.0,2.7941867772378533E-46,0.0,1.3642641463960119E-46,0.0,15.0,3.0,null,null,0.0,1.209490977226006E-45,1.1809003920927443E-45,0.0,1.0559280517093011E-46,0.0,5.28272567099258E-46,0.0,0.0,5.97945426106036E-46,0.0,1.1679839389772096E-45,0.0,0.5296304834602068,26.0,1.7374890573066447E-46,0.0,6.061946798542059E-46,0.0,1.22030280025914E-45,0.0,1.5093505283313981E-46,0.0,8.301125989781627E-46,0.0,2.077507624468072E-46,0.0,0.0,6.673398668255477E-47,0.0,8.35068563446619E-46,0.0,768.0,1283.0,1.9288089044805045E-46,0.0,21.0,182.0,null,null,val1,val0,val4,val0,val0,val0,val0,val0,val0,val0,val0,val0,val0,val0,val0,val0,val1,val0,val0,val2,2,0
00000000-0000-0005-0000-000000000000,00000000-0000-0000-0000-000000000005,1246311635914,770.0,1280.0,null,null,5.333790328145475E-46,0.0,1.1723899849209099E-45,0.0,-4.0,2.489167864327089E-47,0.0,0.0,2.2444695792028E-46,0.0,5.350859164496202E-47,0.0,2.4828126704518454E-46,0.0,2.4842059485157307E-46,1.0123447095453856E-45,0.0,8.273900760147104E-46,0.0,0.0,1.1517408381967198E-45,0.0,38.0,0.0,0.0,1.0790593036200476E-45,0.0,3.698572495762526E-46,0.0,0.0,5.080697813489176E-46,0.0,0.0,6.823282527751178E-46,0.0,1.0390887842893818E-45,0.0,0.0,null,0.0,7.881238131477998E-46,0.0,0.0,50.0,0.0,9.015939393748319E-48,0.0,1.0724682639298055E-45,0.0,1.136284900726113E-45,0.0,20.0,4.0,null,null,0.0,6.792200616398926E-46,1.9931346599229808E-45,0.0,1.0972780258886376E-45,0.0,5.265687934510438E-46,0.0,0.0,3.873752870429538E-46,0.0,1.186256554834491E-45,0.0,1.2367102791072836E-45,0.0,8.200568897091425E-46,0.0,8.006979395701181E-46,0.0,7.872937409923925E-46,0.0,3.206123862999875E-47,0.0,1.1635841849390707E-46,0.0,7.181559584669238E-46,0.0,0.0,1.2824635607156981E-45,0.0,4.2493849457290646E-47,0.0,784.0,1280.0,8.39815534068183E-46,0.0,20.0,0.0,null,null,val2,val0,val5,val0,val0,val0,val0,val0,val0,val0,val1,val2,val2,val0,val1,val1,val4,val0,val2,val3,1,0
00000000-0000-0006-0000-000000000000,00000000-0000-0000-0000-000000000006,1246311685890,859.0,1440.0,null,null,7.087942738554232E-46,0.0,7.68796652126207E-46,0.0,-4.0,6.90584152119764E-46,0.0,0.0,2.9696565267848694E-46,0.0,1.3167223614858985E-45,0.0,1.4771116972168565E-46,0.0,2.115215292077354E-46,3.388951059599271E-46,0.0,8.873012836770889E-46,0.0,0.0,4.7140887946940555E-46,0.0,32.0,0.0,0.0,8.320679815082104E-46,0.0,7.282719789580845E-46,0.0,0.0,4.832838834127533E-46,0.0,0.0,4.4947419181366105E-46,0.0,1.0514299130440319E-45,0.0,0.0,null,0.0,1.0374253906127716E-46,0.0,0.0,44.0,0.0,1.2469025842329481E-45,0.0,7.468328854297976E-46,0.0,5.407783599467715E-46,0.0,20.0,4.0,null,null,0.0,3.981529555417592E-46,1.956270866232372E-45,0.0,1.3759106889710648E-45,0.0,2.6874277011817684E-46,0.0,0.0,6.180344149233777E-46,0.0,1.2318720093430538E-45,0.0,0.9528921068287444,7.0,9.098356577173057E-46,0.0,1.336273285712566E-47,0.0,6.292522753729559E-46,0.0,6.019625838213365E-46,0.0,1.3375092767959603E-45,0.0,6.8603460470343215E-46,0.0,0.0,1.2991774867780137E-45,0.0,1.2358631267342815E-45,0.0,840.0,1440.0,1.0987801251323773E-45,0.0,21.0,9.0,null,null,val3,val1,val5,val0,val0,val0,val0,val0,val0,val0,val1,val1,val2,val0,val0,val1,val5,val1,val3,val4,2,0
00000000-0000-0007-0000-000000000000,00000000-0000-0000-0000-000000000007,1246311749950,768.0,1024.0,null,null,1.860260502457768E-46,0.0,3.1351351277868926E-46,0.0,-4.0,1.0787147914953107E-45,0.0,0.0,1.2964022245748105E-45,0.0,9.172122300420931E-46,0.0,5.936488700401749E-46,0.0,8.124489005523678E-46,1.900745170514057E-46,0.0,6.491315825761229E-46,0.0,0.0,9.943143745867772E-46,0.0,36.0,0.0,0.0,1.1242836776436603E-45,0.0,1.3176007459913643E-45,0.0,0.0,1.0057225735066584E-45,0.0,0.0,1.3213352972981003E-45,0.0,6.499636044092584E-46,0.0,0.0,null,0.0,1.2213330010958357E-45,0.0,0.0,47.0,0.0,1.2148821566316545E-45,0.0,1.2075433706009818E-45,0.0,3.709802976901052E-46,0.0,20.0,4.0,null,null,0.0,1.3575687253183243E-45,2.4472672987676338E-45,0.0,5.144104606524942E-46,0.0,9.81293734863992E-46,0.0,0.0,1.0886141284296014E-47,0.0,6.845184842667062E-46,0.0,4.332654596615481E-46,0.0,1.3039904835270297E-45,0.0,5.707722999214686E-46,0.0,7.912458941437376E-46,0.0,6.681169158641725E-46,0.0,4.7082349078617195E-46,0.0,9.590793178243735E-47,0.0,0.0,5.36935931453254E-47,0.0,2.884281558192275E-46,0.0,770.0,1024.0,1.2824032241313051E-45,0.0,21.0,0.0,null,null,val3,val1,val6,val0,val0,val0,val0,val0,val0,val0,val1,val3,val3,val0,val1,val0,val6,val0,val4,val3,4,0
00000000-0000-0008-0000-000000000000,00000000-0000-0000-0000-000000000008,1246311795599,558.0,644.0,null,null,2.425192597609414E-46,0.0,8.633946699227116E-47,0.0,-7.0,9.298241077579025E-46,0.0,0.0,9.001393806260904E-46,0.0,3.506671515195419E-46,0.0,1.3454248562547039E-45,0.0,6.4080382165161305E-46,4.239544859624491E-46,0.0,8.884829450653214E-46,0.0,0.0,6.462660900335308E-46,0.0,36.0,0.0,0.0,7.483365890097923E-46,0.0,3.591354768253823E-46,0.0,0.0,2.9039743447306614E-46,0.0,0.0,4.9098026850293225E-46,0.0,1.1306883264442888E-45,0.0,0.0,null,0.0,6.994456989493528E-47,0.0,0.0,53.0,0.0,6.550190917561417E-46,0.0,1.0846112516835994E-45,0.0,4.5935192707409155E-46,0.0,20.0,4.0,null,null,0.0,1.0336901355625473E-45,1.9303022447949026E-45,0.0,5.58035458952414E-47,0.0,3.6537644858392574E-47,0.0,0.0,1.2548646512890157E-45,0.0,1.5680548807032538E-46,0.0,3.4776185864114384E-46,0.0,9.78177114960608E-46,0.0,9.450363697892481E-46,0.0,8.014881350040617E-46,0.0,5.495467973946358E-47,0.0,1.3358629144355364E-45,0.0,1.374409145179075E-45,0.0,0.0,9.979906994693752E-46,0.0,1.3351117600443328E-45,0.0,170.0,47.0,4.639514604102059E-46,0.0,21.0,6.0,null,null,val3,val1,val4,val0,val0,val0,val0,val0,val0,val0,val1,val1,val0,val0,val0,val0,val2,val0,val5,val5,1,0
00000000-0000-0009-0000-000000000000,00000000-0000-0000-0000-000000000009,1246311860527,737.0,1025.0,null,null,5.5277033529510915E-46,0.0,2.9665886902893414E-46,0.0,-4.0,1.0501299567609251E-45,0.0,0.0,5.833815799623896E-46,0.0,5.499676548457269E-47,0.0,2.9197240264335573E-46,0.0,1.1158970879246832E-45,4.802172173589982E-46,0.0,1.205862827668445E-45,0.0,0.0,5.795494676358521E-46,0.0,35.0,0.0,0.0,8.307856033761307E-47,0.0,7.83994557020443E-47,0.0,0.0,6.345441311374309E-46,0.0,0.0,1.1225574482145083E-45,0.0,4.488028570845301E-46,0.0,0.0,null,0.0,1.0620667270757992E-45,0.0,0.0,54.0,0.0,1.2851402021746085E-45,0.0,1.2999022172901771E-45,0.0,6.032299005669804E-46,0.0,20.0,4.0,null,null,0.0,7.821191003024203E-46,1.6407496419285716E-45,0.0,8.452050829079361E-48,0.0,7.864894451202192E-46,0.0,0.0,1.1129645673184252E-45,0.0,3.4059992872845215E-46,0.0,0.03494412921820638,2.0,1.0963643749167062E-46,0.0,5.676606389383785E-47,0.0,3.690929995993963E-46,0.0,8.582781812097099E-46,0.0,1.9995740923706743E-46,0.0,7.596471084584972E-46,0.0,0.0,1.0992236294877416E-45,0.0,4.859353649547831E-46,0.0,768.0,1025.0,1.1166587749904417E-46,0.0,21.0,38.0,null,null,val3,val1,val7,val0,val0,val0,val0,val0,val0,val0,val1,val1,val2,val0,val0,val0,val6,val0,val3,val4,2,0
00000000-0000-000a-0000-000000000000,00000000-0000-0000-0000-00000000000a,1246311958057,405.0,1024.0,null,null,1.2506464279424294E-46,0.0,1.2073577804068275E-46,0.0,-5.0,1.8205804377826984E-46,0.0,0.0,1.1000379925927948E-45,0.0,6.005089270232811E-46,0.0,6.287775133099216E-46,0.0,2.5131699756406373E-46,1.3309128270653116E-47,0.0,4.959103859743483E-46,0.0,0.0,5.949177213775616E-46,0.0,37.0,0.0,0.0,1.0212022926011607E-45,0.0,1.966649141868204E-46,0.0,0.0,1.213273026718653E-46,0.0,0.0,9.768964790880161E-46,0.0,1.1320919443839273E-45,0.0,0.0,null,0.0,1.1579398208680896E-45,0.0,0.0,57.0,0.0,1.0116410240886585E-45,0.0,3.5009767281962497E-46,0.0,5.263936180549187E-47,0.0,20.0,4.0,null,null,0.0,1.0365212917595099E-46,2.7092810561533874E-45,0.0,3.236720673582143E-47,0.0,1.2294003891231274E-45,0.0,0.0,1.2210378800680574E-45,0.0,1.7181142274484593E-46,0.0,8.236854589836209E-47,0.0,5.423084449922932E-46,0.0,2.9815042984138278E-46,0.0,1.0574173959091168E-45,0.0,6.887702010988761E-46,0.0,1.2322418424608258E-45,0.0,1.3997248748655047E-45,0.0,0.0,4.189696702124632E-46,0.0,1.21375916820832E-45,0.0,272.0,1026.0,4.348854820891842E-46,0.0,21.0,5.0,null,null,val3,val1,val8,val0,val0,val0,val0,val0,val0,val0,val1,val2,val2,val0,val0,val1,val7,val0,val6,val6,6,0
00000000-0000-000b-0000-000000000000,00000000-0000-0000-0000-00000000000b,1246312073147,748.0,1024.0,null,null,3.2824802416531687E-46,0.0,4.817326961594029E-46,0.0,-5.0,3.365116905851887E-46,0.0,0.0,1.8957583482520575E-46,0.0,7.540818326004829E-46,0.0,8.255985669053607E-46,0.0,3.7481594570124615E-46,1.0934280573239403E-45,0.0,4.438812525309761E-46,0.0,0.0,8.42549383630845E-46,0.0,38.0,0.0,0.0,1.1768399865250879E-45,0.0,7.24368821176282E-46,0.0,0.0,5.2987820686570155E-46,0.0,0.0,4.355350411698947E-46,0.0,2.6373804883541043E-46,0.0,0.0,null,0.0,6.538205807672653E-46,0.0,0.0,60.0,0.0,1.1112147825215707E-45,0.0,1.226569454131236E-45,0.0,5.460932633003235E-46,0.0,20.0,4.0,null,null,0.0,2.4719832325143623E-46,1.566727335429677E-45,0.0,1.3512934085755713E-45,0.0,8.255978460758837E-46,0.0,0.0,1.997082421934848E-46,0.0,1.135579405385959E-46,0.0,1.3246574479248863,2.0,1.1527492303590783E-45,0.0,6.676473375689229E-46,0.0,8.930769858315837E-46,0.0,1.1065662608262387E-45,0.0,1.0651030063699117E-45,0.0,7.092835075331796E-46,0.0,0.0,4.433087704177575E-47,0.0,6.299273286645664E-46,0.0,770.0,1024.0,6.329157978776839E-46,0.0,21.0,11.0,null,null,val4,val0,val9,val0,val0,val0,val0,val0,val0,val0,val1,val4,val4,val0,val0,val2,val6,val0,val6,val6,3,0
00000000-0000-000c-0000-000000000000,00000000-0000-0000-0000-00000000000c,1246312094130,770.0,1280.0,null,null,3.635439402194419E-46,0.0,3.1644644678113066E-46,0.0,-4.0,5.865915864981749E-46,0.0,0.0,9.003195721911022E-46,0.0,1.3244230079941297E-45,0.0,6.1761687634201385E-46,0.0,6.967095365428809E-46,8.629757987282496E-46,0.0,9.756411519937236E-46,0.0,0.0,5.412525573720139E-46,0.0,33.0,0.0,0.0,8.712873817230558E-47,0.0,6.881035639623374E-46,0.0,0.0,5.993466458122507E-46,0.0,0.0,1.4076245330974228E-46,0.0,1.1565587287909232E-45,0.0,0.0,null,0.0,1.0568652115486567E-45,0.0,0.0,43.0,0.0,9.752100050064569E-46,0.0,9.120290113060509E-47,0.0,4.068694087315798E-46,0.0,21.0,4.0,null,null,0.0,1.132540089163888E-45,1.953119754435157E-45,0.0,1.020537412700808E-45,0.0,2.613074690770099E-46,0.0,0.0,9.384591562609381E-46,0.0,6.950287418082293E-46,0.0,1.1827535304009735E-45,0.0,1.4204323153149869E-46,0.0,2.350583005824798E-47,0.0,8.673437600930485E-47,0.0,7.576407102043944E-46,0.0,3.665627035528007E-46,0.0,4.101878139112485E-46,0.0,0.0,1.331000552057754E-45,0.0,1.9861744314836735E-46,0.0,797.0,1280.0,6.205743004874034E-46,0.0,20.0,1.0,null,null,val4,val0,val10,val0,val0,val1,val0,val1,val1,val0,val1,val5,val2,val0,val1,val1,val6,val2,val4,val3,1,0
00000000-0000-000d-0000-000000000000,00000000-0000-0000-0000-00000000000d,1246312098567,770.0,1280.0,null,null,2.923042348977145E-24,2.0,4.479202960335927E-46,0.0,-7.0,1.1859953573600417E-45,0.0,0.0,1.2087899764375542E-45,0.0,5.2138829643389856E-46,0.0,1.2030403975645516E-45,0.0,3.1691590325669336E-46,1.2051010431362895E-46,0.0,1.2712188645145311E-45,0.0,0.0,2.845374586120576E-46,0.0,37.0,0.0,0.0,6.732268442211685E-46,0.0,5.080569285645339E-46,0.0,0.0,9.025360543383919E-46,0.0,0.0,1.0479629508812136E-45,0.0,1.2038669402644094E-45,0.0,0.0,null,0.0,1.295684237803955E-45,0.0,0.0,47.0,0.0,3.661385255227179E-46,0.0,1.933992752740621E-46,0.0,2.088085682439501E-46,0.0,21.0,4.0,null,null,0.0,4.2145148542277323E-10,2.298080354781037E-45,0.0,5.1573151844131556E-12,3.0,1.1659050330060481E-45,0.0,3.0,1.3023936507028251E-45,0.0,3.7211764190828685E-46,0.0,1.2168543034346986E-45,0.0,9.114784756178879E-46,0.0,5.398578397586775E-46,0.0,8.352144771944172E-46,0.0,1.5201194828874183E-46,0.0,1.1309189874893126E-45,0.0,4.798279898932594E-46,0.0,0.0,9.602267002541477E-46,0.0,8.591209445526148E-46,0.0,772.0,1285.0,0.33171613892485596,5.0,20.0,99.0,null,null,val5,val1,val11,val0,val0,val0,val0,val0,val0,val0,val1,val6,val5,val0,val0,val0,val6,val0,val7,val7,2,0
00000000-0000-000e-0000-000000000000,00000000-0000-0000-0000-00000000000e,1246312198785,663.0,681.0,null,null,1.3642873610346667E-45,0.0,1.3964291311969456E-45,0.0,-7.0,5.943872808664586E-46,0.0,0.0,2.7735147977456126E-46,0.0,8.44261375340899E-46,0.0,6.175373028647872E-46,0.0,1.044565073358489E-45,4.5393070567210624E-46,0.0,1.1363236586816405E-45,0.0,0.0,7.73871931505357E-46,0.0,39.0,0.0,0.0,8.298196787155918E-46,0.0,1.074820866744244E-45,0.0,0.0,8.273402956589103E-47,0.0,0.0,1.192838260841225E-45,0.0,9.977733855960231E-46,0.0,0.0,null,0.0,8.126140657809435E-46,0.0,0.0,43.0,0.0,9.678292987130026E-46,0.0,8.386517191946747E-46,0.0,8.880110704406736E-46,0.0,20.0,4.0,null,null,0.0,1.1759432521456149E-45,2.340981154918106E-45,0.0,9.269150059780203E-46,0.0,1.1731250642587481E-45,0.0,0.0,2.9325493956206364E-46,0.0,4.1073579038343446E-46,0.0,6.887225878005016E-46,0.0,4.3191968700567595E-46,0.0,2.4692108708677175E-46,0.0,1.7859459121265104E-46,0.0,7.342723670826158E-46,0.0,6.042582580046969E-47,0.0,1.1636365292919326E-45,0.0,0.0,8.702425097752328E-46,0.0,6.927468694502409E-46,0.0,495.0,103.0,2.7925183698016117E-46,0.0,20.0,2.0,null,null,val5,val1,val12,val0,val0,val0,val0,val0,val0,val0,val1,val3,val4,val0,val1,val0,val6,val0,val5,val3,3,0
